n_revdeps,package,status
18,philentropy,email
12,gRbase,email
12,dqrng,email
7,LambertW,email
4,autothresholdr,email
4,Peptides,email
4,redistmetrics,email
4,pbv,email
2,simcdm,email
2,mev,email
2,hypergeo2,email
2,primes,email
1,fstcore,email
1,tvdenoising,email
1,RcppCWB,issue
1,bvartools,email
0,gRc,email
0,ctmcd,
0,RcppQuantuccia,edd
0,StealLikeBayes,issue
0,bigReg,email
0,gif,email
0,o2geosocial,email
0,Countr,email
0,RClickhouse,email
0,BeSS,email
0,remulate,email
0,cooltools,email
0,rrum,email
0,empichar,email
0,BGVAR,email
0,BayesLN,email
0,markovmix,email
0,PoissonMultinomial,email
0,tidylda,email
0,cbbinom,email
0,svycoxme,email
0,grpCox,email
0,DiscreteDists,email
