n_revdeps,package,status
154,Rfast,pr
39,mvnfast,pr
32,minqa,email
30,imager,pr
25,interp,
25,RcppGSL,fp
21,geiger,
17,Rvcg,
17,rugarch,
12,cellWise,
12,fastglm,
11,Morpho,
10,bigstatsr,
10,rstpm2,
8,ecp,
7,packcircles,
6,Cyclops,
4,GSE,
4,bigsnpr,
3,filearray,
3,mets,
2,hpa,
2,cccp,
2,MSGARCH,
2,rmgarch,
2,GMMAT,
2,mrfDepth,
2,RcppDE,
1,treestats,
1,statgenIBD,
1,mmapcharr,
1,oem,
1,lolog,
1,bigsparser,
1,modsem,
0,GENLIB,
0,POSetR,
0,JUMP,
0,STARRS,
0,pacotest,
0,quantspec,
0,geeVerse,
0,jmvconnect,
0,rMVP,
0,greed,
0,esaddle,
0,quadrupen,
0,MAGEE,
0,ernm,
0,pcadapt,
0,BigDataStatMeth,
0,bayou,
0,protViz,
0,SelfControlledCaseSeries,
0,ndl,
0,PPMR,
0,RcppHMM,
0,tsissm,
0,FRESA.CAD,
0,HDclust,
0,jmotif,
0,microsimulation,
0,Rforestry,
0,GenomeAdmixR,
0,fdaMixed,
0,rliger,
0,simRestore,
0,STAREG,
0,fmrihrf,
0,fiberLD,
0,CohortMethod,
0,pdSpecEst,
0,OptimalBinningWoE,
0,junctions,
0,textreg,
0,revealedPrefs,
0,ReAD,
0,secsse,
