n_revdeps,package,status
214,reticulate,issue
146,Rfast,issue
70,cubature,issue
68,geometry,fp
40,mvnfast,issue
39,bigmemory,issue
31,minqa,email
26,interp,email
22,fixest,issue
21,geiger,email
21,OpenMx,issue
19,RNifti,fp
17,Rvcg,issue
16,exactextractr,issue
16,paws.common,issue
14,text2vec,issue
14,rxode2,issue
12,cellWise,email
12,fastglm,issue
12,gRbase,email
11,Morpho,issue
11,kohonen,email
10,oce,issue
10,bigstatsr,issue
9,s2,pr
9,rstpm2,issue
8,roptim,issue
8,ecp,email
7,gaston,email
6,RSNNS,issue
5,optmatch,issue
5,RNiftyReg,issue
4,genieclust,issue
4,GSE,email
3,mets,issue
3,move,issue
3,leidenAlg,issue
3,stringmagic,issue
3,diversitree,email
2,stream,issue
2,symengine,issue
2,mombf,issue
2,RCSF,email
2,GMMAT,email
2,steadyICA,email
2,MSGARCH,issue
2,deadwood,issue
2,cccp,email
2,rmgarch,issue
1,ccaPP,issue
1,psychonetrics,issue
1,lolog,issue
1,mrfDepth,email
1,bigsparser,issue
1,treestats,issue
1,rsparse,issue
1,oem,issue
1,RcppCWB,issue
1,tsmp,issue
1,modsem,issue
1,memshare,issue
1,n1qn1,issue
1,stringfish,
0,stan4bart,issue
0,POSetR,email
0,bayou,email
0,fmrihrf,issue
0,fiberLD,email
0,sbfc,issue
0,esaddle,issue
0,imbibe,fp
0,cmstatrExt,issue
0,ReAD,email
0,sparvaride,issue
0,FlexRL,issue
0,Rmalschains,email
0,localLLM,
0,PoweR,email
0,pccc,issue
0,MAGEE,email
0,tiledb,issue
0,jmvconnect,email
0,ribiosMath,issue
0,sits,issue
0,ndl,email
0,GENLIB,email
0,textreg,email
0,dmbc,issue
0,pompp,email
0,bayesianVARs,issue
0,covafillr,issue
0,modelSelection,issue
0,simRestore,email
0,DstarM,issue
0,JUMP,email
0,microsimulation,issue
0,protViz,issue
0,RInside,fp
0,BigDataStatMeth,
0,missSOM,email
0,ganGenerativeData,email
0,geeVerse,email
0,fdaMixed,email
0,quantspec,issue
0,MinTriadic,email
0,rip.opencv,
0,essHist,email
0,bigrquerystorage,issue
0,divest,issue
0,rliger,issue
0,OptimalBinningWoE,issue
0,Racmacs,issue
0,pacotest,issue
0,HDclust,email
0,RcppTskit,fp
0,StealLikeBayes,issue
0,RScelestial,email
0,tsmarch,issue
0,cmtkr,issue
0,r2sundials,issue
0,FRESA.CAD,email
0,ernm,email
0,hesim,issue
0,image.CannyEdges,issue
0,ganDataModel,email
0,Rforestry,issue
0,STAREG,email
0,RcppHMM,email
0,TreeSearch,issue
0,PPMR,
0,fb4package,
0,sundialr,
0,GPTCM,issue
0,eseis,fp
0,VIC5,pr
0,tsissm,issue
