n_revdeps,package,status
314,lme4,issue
196,reticulate,issue
135,Rfast,issue
69,cubature,issue
67,geometry,issue
47,Seurat,issue
45,lhs,issue
39,bigmemory,issue
37,mvnfast,issue
28,RcppGSL,fp
28,minqa,email
25,interp,email
23,later,issue
22,ggiraph,pr
21,geiger,email
19,Rvcg,issue
19,OpenMx,issue
19,RNifti,issue
19,RcppNumerical,issue
18,fixest,issue
17,rugarch,issue
12,kohonen,email
12,exactextractr,issue
12,Morpho,issue
12,gRbase,email
12,rxode2,issue
12,text2vec,issue
11,cellWise,email
10,oce,issue
10,rvg,issue
10,qs2,issue
9,s2,pr
9,fastglm,issue
9,rstpm2,issue
8,bigstatsr,issue
8,RTMB,pr
8,stochvol,issue
7,roptim,issue
7,gaston,email
7,ecp,email
6,nanotime,edd
6,optmatch,issue
5,RNiftyReg,issue
5,RSNNS,issue
5,Cyclops,issue
4,genieclust,issue
4,diversitree,email
4,GSE,email
4,nonlinearTseries,issue
4,isotree,issue
4,RProtoBuf,edd
4,qtl2,issue
3,mmrm,pr
3,mets,issue
3,bigalgebra,issue
3,tsdistributions,issue
3,move,issue
3,leidenAlg,issue
2,stringmagic,issue
2,GMMAT,email
2,rmumps,issue
2,cccp,email
2,RCSF,email
2,rmgarch,issue
2,RcppDE,edd
2,stream,issue
2,symengine,issue
2,tokenbrowser,email
2,rsparse,issue
2,outliertree,issue
2,steadyICA,email
2,MSGARCH,issue
1,pacotest,issue
1,tsmp,issue
1,rlas,issue
1,quantspec,issue
1,bigsparser,issue
1,medfate,issue
1,RcppCWB,issue
1,ccaPP,issue
1,psychonetrics,issue
1,factorstochvol,email
1,stepR,email
1,RcppBDT,edd
1,DLMtool,email
1,RInside,fp
1,blackbox,email
1,hipread,issue
1,mrfDepth,email
1,statgenIBD,issue
1,ssdtools,issue
1,lolog,issue
1,tsgarch,issue
1,oem,issue
1,mombf,issue
1,POSetR,email
1,treestats,issue
0,CompositionalRF,email
0,FRESA.CAD,email
0,pccc,issue
0,imbibe,issue
0,MinTriadic,email
0,GENLIB,email
0,tiledb,issue
0,eseis,fp
0,simRestore,email
0,stan4bart,issue
0,qtl2pleio,issue
0,bigrquerystorage,issue
0,STAREG,email
0,missSOM,email
0,protViz,issue
0,junctions,issue
0,GenomeAdmixR,issue
0,dmbc,issue
0,ganGenerativeData,email
0,dfmta,email
0,textreg,email
0,MAGEE,email
0,cmstatrExt,issue
0,bfp,email
0,mwcsr,issue
0,Racmacs,issue
0,modsem,issue
0,pedbp,issue
0,modelSelection,issue
0,memshare,issue
0,Rforestry,issue
0,ganDataModel,email
0,RcppCNPy,edd
0,PoweR,email
0,revealedPrefs,email
0,cpr,pr
0,fdaMixed,email
0,enmpa,issue
0,r2sundials,issue
0,ReIns,issue
0,FlexRL,issue
0,RcppClassicExamples,edd
0,esaddle,issue
0,fmrihrf,issue
0,bayesianVARs,issue
0,fiberLD,email
0,qwraps2,issue
0,secsse,issue
0,jmvconnect,email
0,VIC5,pr
0,geeVerse,email
0,rMVP,issue
0,fastcmh,issue
0,fasterElasticNet,issue
0,ernm,email
0,tsmarch,issue
0,sbfc,issue
0,pompp,email
0,essHist,email
0,tsissm,issue
0,image.CannyEdges,issue
0,SelfControlledCaseSeries,issue
0,divest,issue
0,PPMR,issue
0,hesim,issue
0,sits,issue
0,TreeSearch,issue
0,psgp,email
0,ReAD,email
0,microsimulation,issue
0,ndl,email
0,RScelestial,email
0,Rmalschains,email
0,sparvaride,issue
0,GPTCM,issue
0,sffdr,issue
0,HDclust,email
0,rliger,issue
0,RcppHMM,email
0,dfcomb,email
0,JUMP,email
0,zic,email
